Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
SIMULAZIONE ALTRE BUSTE 4,VATB4_38,la fibrillazione venticolare,un'aritmia cardiaca caratterizzata da un aumento della frequenza,una grave aritmia che interessa i ventricoli,un'alterazione del ritmo cardiaco che ha origine a livello atriale,un'alterazione anatomica del miocardio a livello dei ventricoli,una grave aritmia che interessa i ventricoli
SIMULAZIONE ALTRE BUSTE 4,VATB4_39,il sangue che si immette nell'atrio sinistro,è sangue ossigenato proveniente dalla periferia del corpo,è sangue ricco di anidride carbonica proveniente dalla periferia del corpo,non è sangue ossigenato proveniente dalla preriferia del corpo,è sangue ossigenato proveniente dalle vene polmonari,è sangue ossigenato proveniente dalle vene polmonari
SIMULAZIONE ALTRE BUSTE 4,VATB4_40,cosa si intende per ischemia,diminuzione o soppressione dell'apporto i sangue in un determinato distretto corporeo,è suddivisa in 4 classi classificate dalla NYHA (New York heart association),una insufficiente forza di contrazione del cuore una delle più importanti conseguenze di coloro che hanno subito uno o più infarti miocardici,sindrome caratterizzata dal dolore in regione retrosternale  talvolta irradiato al lato ulnare del braccio sinistro e alle spalle,diminuzione o soppressione dell'apporto i sangue in un determinato distretto corporeo
SIMULAZIONE ALTRE BUSTE 4,VATB4_41,individua la risposta corretta,la quantità di fluido assornibita giornalmente a livello del tratto gi di circa 18/19 litri di cui la maggiorparte è assorbita nel tenue,villi intestinali: protrudono dalle valvulae conniventes  aumentando la superficie di assornibimento di 100 volte,gli enzimi pancreatici trasformano l'amido alimentare in una miscela di zuccheri semplici,il pancreas è una ghiandola piccola corta e arrotondata situata verticalmente nella parte superiore e posteriore della cavità addominale,gli enzimi pancreatici trasformano l'amido alimentare in una miscela di zuccheri semplici
SIMULAZIONE ALTRE BUSTE 4,VATB4_42,la bile,emulsionano piccole particelle di grasso in grosse particelle che possono dissociarsi dalle lipasi,inibisce il trasporto e l'assorbimento dei grassi a livello della mucosa intestinale,ha funzione fondamentale nel metabolismo dei grassi  grazie alla sua composizione in acidi biliari,non viene secreta all'interno dell'apparato digerente,ha funzione fondamentale nel metabolismo dei grassi  grazie alla sua composizione in acidi biliari
SIMULAZIONE ALTRE BUSTE 4,VATB4_43,il compito della cistifellea è,accumulare la bile durante ildigiuno  riversandola nel tratto iniziale dell'intestino tenue dopo i pasti,riversare il proprio contenuto nell'ileo,riversa il proprio contenuto nello stomaco,riversa il proprio contenuto a livello del cardias,accumulare la bile durante ildigiuno  riversandola nel tratto iniziale dell'intestino tenue dopo i pasti
SIMULAZIONE ALTRE BUSTE 4,VATB4_44,gli alveoli,possiedono pareti elastiche,sono collocabili in corrispondenza del pomo d'adamo,sono formati da cartilagine ialina,fanno parte dell'apparato digerente,possiedono pareti elastiche
SIMULAZIONE ALTRE BUSTE 4,VATB4_45,la TAC,è il test più comune per valutare la funzionalità polmonare,tecnica diagnostica che sfrutta le radiazioni ionizzanti (o raggi X),è specificatamente indicata alle diagnosi delle patologie dell'apparato muscolo scheletrico,la broncoscopia è un'indagine strumentale mirata all'esplorazione visiva delle vie aeree di calibro maggiore,tecnica diagnostica che sfrutta le radiazioni ionizzanti (o raggi X)
SIMULAZIONE ALTRE BUSTE 4,VATB4_46,il bilancio idrico negativo è,insufficiente apporto di liquidi: può conseguire a ostruzione esofagea o alla mancanza del senso della sete,quando compartimenti intramuscolare e intracellulare vengono mantenuti costanti,una situazione di iperidratazione,quando l'apporto di acqua supera le perdite,insufficiente apporto di liquidi: può conseguire a ostruzione esofagea o alla mancanza del senso della sete
SIMULAZIONE ALTRE BUSTE 4,VATB4_47,l'ematoma,è una raccolta di sangue proveniente da un vaso rotto che si infiltra all'interno del muscolo,causa rottura di alcune fibre che compongono i muscoli,l'emostasi e la calcificazione non sono tra le complicanze più temute,può essere acuto o cronico,è una raccolta di sangue proveniente da un vaso rotto che si infiltra all'interno del muscolo
SIMULAZIONE ALTRE BUSTE 4,VATB4_48,la mialgia può essere,aperta o chiusa,lontana o vicina,localizzata o diffusa,monolocale o bifocale,localizzata o diffusa
SIMULAZIONE ALTRE BUSTE 4,VATB4_49,individua la risposta corretta,Le malattie dell'apparato respiratorio non possono essere di origine patogena,le malattie dell'apparato respiratorio di origine patogena sono polmoniti  tubercolosi e sinovite,la tracheite è malattia dell'apparato respiratorio di origine patogena,la polmonite non è un processo infiammatorio,la tracheite è malattia dell'apparato respiratorio di origine patogena
SIMULAZIONE ALTRE BUSTE 4,VATB4_50,La asbestosi,non rientra tra le malattie ambientali,è sinonimo di silicosi,è sinonimo di pneumoconiosi,è una malattia polmonare cronica provocata dall'inalazione di fibre di asbesto,è una malattia polmonare cronica provocata dall'inalazione di fibre di asbesto
SIMULAZIONE ALTRE BUSTE 5,VATB5_1,L'intestino tenue,è lungo circa 7 metri,è lungo circa 12 metri,è più corto rispetto al crasso,sfocia nello stomaco,è lungo circa 7 metri
SIMULAZIONE ALTRE BUSTE 5,VATB5_2,individua la risposta esatta,lo sfintere di Oddi è costituito da muscolatura liscia in persistente stato di contrazione,il processo digestivo non inizia in bocca,la saliva non interviene nella digestione,la peristalsi è un processo volontario,lo sfintere di Oddi è costituito da muscolatura liscia in persistente stato di contrazione
SIMULAZIONE ALTRE BUSTE 5,VATB5_3,nel tratto gastrointestinale avviene,la produzione di urina,la produzione dell'espettorato,movimento del cibo (mobilità),lo scambio aria-sangue,movimento del cibo (mobilità)
SIMULAZIONE ALTRE BUSTE 5,VATB5_4,la fisiologia,è una materia che si occupa di descrivere le parti anatomiche del corpo umano,è una scienza esatta,è lo studio degli organismi viventi complessi,è lo studio della cellula,è lo studio degli organismi viventi complessi
SIMULAZIONE ALTRE BUSTE 5,VATB5_5,l'idrocolonterapia può essere svolta da,Terapisti MCB e personale medico,personale ostetrico e infermieristico,entrambe le risposte,,entrambe le risposte
SIMULAZIONE ALTRE BUSTE 5,VATB5_6,cosa si intende con il termine DOLICOCOLON,dolore di un tratto intestinale,farmaco per favorire la fuoriuscita del materiale fecale,anomalia del colon caratterizzata da abnorme allungamento dell'intestino,,anomalia del colon caratterizzata da abnorme allungamento dell'intestino
SIMULAZIONE ALTRE BUSTE 5,VATB5_7,cos'è la Colonscopia,esame diagnostico per esplorare le pareti interne,pulizia del tratto intestinale interessato,sinonimo di idrocolonterapia,,esame diagnostico per esplorare le pareti interne
SIMULAZIONE ALTRE BUSTE 5,VATB5_8,cosa si intende con disbiosi,condizione di equilibrio tra microbiota ed ecosistema intestinale,condizione di disequilibrio tra microbiota ed ecosistema intestinale,nessuna delle precedenti,,condizione di disequilibrio tra microbiota ed ecosistema intestinale
SIMULAZIONE ALTRE BUSTE 5,VATB5_9,finalità dell'assunzione di antibiotici,impedire il proliferare dei patogeni e lo sviluppo di malattie infettive,farmaco per favorire la fuoriuscita del materiale fecale,nessuna delle precedenti,,impedire il proliferare dei patogeni e lo sviluppo di malattie infettive
SIMULAZIONE ALTRE BUSTE 5,VATB5_10,quante sono al max il numero di sedute al quale si po' sottoporre un paziente,Una settimana,3 al mese,tutte le precedenti,,tutte le precedenti
SIMULAZIONE ALTRE BUSTE 5,VATB5_11,quanto può durare una seduta di idrocolon,15 minuti,3 ore,da 45 minuti a un'ora,,da 45 minuti a un'ora
SIMULAZIONE ALTRE BUSTE 5,VATB5_12,a quale temperatura dell'acqua si effettua idrocolon,36−38∘C,da 20 a 25,da 45∘C in su,,36−38∘C
SIMULAZIONE ALTRE BUSTE 5,VATB5_13,l'anamnesi del paziente si effettua,prima della terapia,durante la terapia,dopo la terapia,,prima della terapia
SIMULAZIONE ALTRE BUSTE 5,VATB5_14,per l'idrocolonterapia si utilizza,materiali ed accessori monouso,materiali lavabili e riutilizzabili,nessuna delle precedenti,,materiali ed accessori monouso
SIMULAZIONE ALTRE BUSTE 5,VATB5_15,la salute è,assenza di malattia,uno stato di benessere fisico  psichico  e sociale,uno stato di benessere psicofisico,assenza di malattia e infermità,uno stato di benessere fisico  psichico  e sociale
SIMULAZIONE ALTRE BUSTE 5,VATB5_16,Qual'è il ruolo del professionista sanitario nei confronti del paziente,deve assicurare il ripristino dello stato di salute,è il responsabile dello stato di salute del paziente,è un aiuto/sostegno al recupero dello stato dello stato di salute del paziente,è corresponsabile al 50% della salute del paziente e non ha nessun tipo di ruolo o responsabilità nei confronti del paziente,è un aiuto/sostegno al recupero dello stato dello stato di salute del paziente
SIMULAZIONE ALTRE BUSTE 5,VATB5_17,in cosa consiste l'igiene in ambito medico,igienizzare l'ambiente di lavoro,è un ramo della medicina che studia i microorganismi patogeni,è un ramo della medicina che cura le malattie infettive,nella difesa da possibili germi patogeni attuabile con procedure di prevenzionee eventualmente cura,nella difesa da possibili germi patogeni attuabile con procedure di prevenzionee eventualmente cura
SIMULAZIONE ALTRE BUSTE 5,VATB5_18,considerando il lavoro del massoterapista  voi potreste operare nell'ambito di,Prevenzione primaria,Prevenzione secondaria,prevenzione terziaria,nessuna possibile prevenzione,prevenzione terziaria
SIMULAZIONE ALTRE BUSTE 5,VATB5_19,secondo il DPR del 14 gennaio 1997 in un ambulatorio di cura la temperatura deve essere,tra i 20 e i 24∘C con un umidità relativa tra il 40-60% e deve essere un ricambio d'aria 6/10 v/h,tra i 18 e i 20∘C con un umidità relativa tra il 40-60% e deve essere un ricambio d'aria 6/10 v/h,tra i 20 e i 24∘C con un umidità relativa tra il 30-70%,tra i 20 e i 24°C con un umidità relativa tra il 40-60% e deve essere un ricambio d'aria 0 6 v/h,tra i 20 e i 24∘C con un umidità relativa tra il 40-60% e deve essere un ricambio d'aria 6/10 v/h
SIMULAZIONE ALTRE BUSTE 5,VATB5_20,quale parola non è un sinonimo di igienizzazione,Sanificazione,Disinfezione,Sanitizzazione,Detersione,Detersione
SIMULAZIONE ALTRE BUSTE 5,VATB5_21,l'igienizzazione è composta da quali fasi,Detersione risciacquo,Disinfezione risciacquo,Disinfezione detersione,Detersione e disinfezione,Detersione e disinfezione
SIMULAZIONE ALTRE BUSTE 5,VATB5_22,a cosa bisogna stare attenti quando si usa un disinfettante,concentrazione,tempo di contatto,temperatura,tutte le precedenti,tutte le precedenti
SIMULAZIONE ALTRE BUSTE 5,VATB5_23,in più rispetto all'igienizzazione  con la sterilizzazione eliminiamo,Batteri,spore,virus,parassiti,spore
SIMULAZIONE ALTRE BUSTE 5,VATB5_24,gli strumenti della pratica di un idro masso terapista sono,Articoli critici,Articoli semi critici,Articoli non critici,,Articoli non critici
SIMULAZIONE ALTRE BUSTE 5,VATB5_25,Un'allergia alimentare,è un'alterazione immunitaria,è causata da una contaminazione microbica si verifica diverse ore dopo l'assunzione,è l'impossibilità di digerire l'alimento,è legata alla quantità di alimento ingerito,è un'alterazione immunitaria
SIMULAZIONE ALTRE BUSTE 5,VATB5_26,le spore sono create da,batteri,virus,funghi,parassiti,batteri
SIMULAZIONE ALTRE BUSTE 5,VATB5_27,la candida è una micosi,superficiale,cutanea,sub cutanea,sistemica dovuta a patogeni opportunisti,sistemica dovuta a patogeni opportunisti
SIMULAZIONE ALTRE BUSTE 5,VATB5_28,quali sono i microorganismi più resistenti ai normali mezzi di disinfezione e sterilizzazione,prioni,virus,funghi,parassiti,prioni
SIMULAZIONE ALTRE BUSTE 5,VATB5_29,l'invasività di un agente patogeno è,la capacità di diffondersi e invadere un organismo,la capacità di produrre tossine,la capacità di passare da un organismo all'altro,,la capacità di diffondersi e invadere un organismo
SIMULAZIONE ALTRE BUSTE 5,VATB5_30,i linfociti T sono,difese immunitarie aspecifiche,difese immunitarie specifiche,,,difese immunitarie specifiche
SIMULAZIONE ALTRE BUSTE 5,VATB5_31,come devono essere i risultati di un test sierologico per indicare che la malattia c'è stata ma molto tempo fa?,IgM+e IgG.,IgM+e IgG+,IgM−e IgG.,IgM−e IgG+,IgM−e IgG+
SIMULAZIONE ALTRE BUSTE 5,VATB5_32,modalità di contagio verticale significa attraverso [Verificare risposta non data],rapporti sessuali,scambio di sangue infetto,la saliva,la placenta della madre al feto,la placenta della madre al feto
SIMULAZIONE ALTRE BUSTE 5,VATB5_33,i veicoli sono coinvolti nel contagio indiretto e sono,oggetti inanimati,organismi viventi,,,oggetti inanimati
SIMULAZIONE ALTRE BUSTE 5,VATB5_34,i sanitari che si devono sottoporre a tampone covid-19 ogni 14giorni indipendentemente dallo stato di salute,sono sottoposti ad un isolamento,contumacia,quarantena,sorveglianza sanitaria,sorveglianza sanitaria
SIMULAZIONE ALTRE BUSTE 5,VATB5_35,quali sono gli strumenti di cui si avvale la Kinesiologia,test muscolare,forza muscolare,test muscolare e medicita tradizionale cinese,,test muscolare e medicita tradizionale cinese
SIMULAZIONE ALTRE BUSTE 5,VATB5_36,cosa indica uno squilibrio muscolare,uno squilibrio al quale è collegata una debolezza,uno squilibrio al quale è collegato un malessere,uno squilibrio al quale è collegata una forza,,uno squilibrio al quale è collegato un malessere
SIMULAZIONE ALTRE BUSTE 5,VATB5_37,la kinesiologia si avvale del triangolo della salute  cosa rappresenta il triangolo?,Un triangolo con un lato strutturale biochimico nutrizionale,un triangolo con un lato fisico  uno emozionale e uno biochimico,un triangolo con un lato fisico  uno emozionale e strutturale,,un triangolo con un lato fisico  uno emozionale e uno biochimico
SIMULAZIONE ALTRE BUSTE 5,VATB5_38,quali sono i 5 fattori intervertebrali,nervo  circolazione sanguigna  circolazione linfatica  midollo spinale,meridiano  circolazione sanguigna e linfatica,fluido cerebrospinale  meridiano circolazione sanguigna  circolazione linfatica  nervo,,fluido cerebrospinale  meridiano circolazione sanguigna  circolazione linfatica  nervo
SIMULAZIONE ALTRE BUSTE 5,VATB5_39,cosa si intende per TL,un tocco che ci indica dove c'è un problema a livello energetico,una terapia locale  un tocco che ci indica dove c'è un problema a livello energetico,una tensiona locale,,un tocco che ci indica dove c'è un problema a livello energetico
SIMULAZIONE ALTRE BUSTE 5,VATB5_40,il meridiano è un circuito energetico che,mette in comunicazione le varie parti del corpo in particolare interno con esterno,i meridiani cono dei canali fisici,nessuna delle presedenti,,mette in comunicazione le varie parti del corpo in particolare interno con esterno
SIMULAZIONE ALTRE BUSTE 5,VATB5_41,ogni muscolo è correlato,muscolo  organo  meridiano  nervo,muscolo  viscere  nervo,meridiano  muscolo  arterie  vene,,muscolo  organo  meridiano  nervo
SIMULAZIONE ALTRE BUSTE 5,VATB5_42,ci sono parametri fondamentali da rispettare quando eseguo il test? Quali?,si hanno aspettative sulle risposte muscolari,si cercano conferme al test,si cercano risposte senza giudizio e senza aspettative cercando le debolezze,,si cercano risposte senza giudizio e senza aspettative cercando le debolezze
SIMULAZIONE ALTRE BUSTE 5,VATB5_43,cosa si intende per MIF,muscolo indicatore debole,muscolo indicatore,muscolo indicatore forte,,muscolo indicatore forte
SIMULAZIONE ALTRE BUSTE 5,VATB5_44,quali sono i riflessi che agiscono su un muscolo per rinforzarlo?,non ci sono riflessi legati al muscolo,neurolinfatici  neurovascolari  agopunti,neurolinfatici  neurovascolari  riflessi spinali  agopunti,,neurolinfatici  neurovascolari  riflessi spinali  agopunti
SIMULAZIONE ALTRE BUSTE 5,VATB5_45,Se uso un MID per avere informazioni  quali informazioni ho?,Informazioni sul suo circuito,informazioni su tutto il circuito,informazioni su entrambi,,Informazioni sul suo circuito
SIMULAZIONE ALTRE BUSTE 5,VATB5_46,a quanti meridiani fa riferimento la kinesiologia di base,14,,,,14
SIMULAZIONE ALTRE BUSTE 5,VATB5_47,quali sono i cicli fisiolofigici della medicina tradizionale cinese,ciclo di nutrizione  ciclo di controllo,ciclo di controllo,ciclo di nutrizione,,ciclo di nutrizione  ciclo di controllo
SIMULAZIONE ALTRE BUSTE 5,VATB5_48,quale muscolo è in relazione con il meridiano dello stomaco?,gran dorsale,pettorale maggiore clavicolare,pettorale maggiore sternale,,pettorale maggiore clavicolare
SIMULAZIONE ALTRE BUSTE 5,VATB5_49,un unico test nella ruota dei meridiani viene testato con un comando diverso  sai dire quale?,Cuore,,,,Cuore
SIMULAZIONE ALTRE BUSTE 5,VATB5_50,il test del vaso-concezione su quale muscolo viene eseguito?,Grande rotondo,sopraspinato,gran dorsale,,sopraspinato
SIMULAZIONE ALTRE BUSTE 5,VATB5_51,quadricipite: a quale meridiano e organi è in relazione,Intestino crasso,intestino tenue,cuore,,intestino tenue
SIMULAZIONE ALTRE BUSTE 5,VATB5_52,La kinesiologia si occupa,dell'aspetto globale della persona,dell'aspetto emotivo,dell'aspetto fisico e chimico,,dell'aspetto globale della persona
SIMULAZIONE ALTRE BUSTE 5,VATB5_53,che cos'è il consiglio Superiore di Sanità,Organo decisione del Ministero della salute,organo amministrativo del Ministero della salute,organo consultivo del Ministero della salute,tutte le risposte sono corrette,organo consultivo del Ministero della salute
SIMULAZIONE ALTRE BUSTE 5,VATB5_54,chi è l'attuale Ministero della salute,Schillaci,,,,Schillaci
SIMULAZIONE ALTRE BUSTE 6,VATB6_1,Cosa vuol dire la sigla L.E.A.?,I livelli elementari alimentari,I livelli essenziali aziendali,livelli essenziali di assistenza,nessuna risposta è corretta,livelli essenziali di assistenza
SIMULAZIONE ALTRE BUSTE 6,VATB6_2,L'articolo 3 della Costituzione italiana afferma il principio di uguaglianza come,diritto di tutti i cittadini di essere considerati uguali davanti alla legge,diritto di tutti i cittadini di essere considerati formalmente uguali,diritto di uguaglianza sostanziale e formale di tutti i cittadini di fronte alla legge,,diritto di uguaglianza sostanziale e formale di tutti i cittadini di fronte alla legge
SIMULAZIONE ALTRE BUSTE 6,VATB6_3,Cosa è una ASST,Azienda sociale sistema territoriale,azienda socio sanitaria territoriale,attività di sicurezza sociale termale,nessuna risposta corretta,azienda socio sanitaria territoriale
SIMULAZIONE ALTRE BUSTE 6,VATB6_4,Che reato prevede e punisce l'articolo 348 c.p.,attività di impresa illecita,esercizio abusivo di una professione,esercizio abusivo di un'attività di impresa,nessuna risposta corretta,esercizio abusivo di una professione
SIMULAZIONE ALTRE BUSTE 6,VATB6_5,I beni aziendali,devono essere utilizzati per fini aziendali e di proprietà dell'imprenditore,utilizzati non per fini aziendali e di proprietà dell'imprenditore,utilizzati non per fini aziendali e non necessariamente di proprietà dell'imprenditore,tutte le risposte sono corrette,utilizzati non per fini aziendali e non necessariamente di proprietà dell'imprenditore
SIMULAZIONE ALTRE BUSTE 6,VATB6_6,Cosa vuol dire I.S.S.?,Istituto superiore di sanità,Istituto sociale di sanità,Istituto socio sanitario,nessuna risposta è corretta,Istituto superiore di sanità
SIMULAZIONE ALTRE BUSTE 6,VATB6_7,l'articolo 36 della Costituzione afferma,Il lavoratore ha diritto alle ferie,il lavoratore ha diritto al riposo settimanale,il lavoratore ha diritto ad essere retribuito in proporzione alla qualità e quantità di lavoro svolto,,il lavoratore ha diritto ad essere retribuito in proporzione alla qualità e quantità di lavoro svolto
SIMULAZIONE ALTRE BUSTE 6,VATB6_8,Cosa si intende con il concetto di efficienza,Capacità di raggiungere lo scopo,capacità di conseguire un obiettivocon il minor impiego di risorse,risparmiare tempo,tutte le risposte sono corrette,capacità di conseguire un obiettivocon il minor impiego di risorse
SIMULAZIONE ALTRE BUSTE 6,VATB6_9,come si raggiunge l'economicità aziendale,Efficacia + efficienza economicità,efficacia+formalizzazione economicità,efficacia+ procedure standard economicità,nessuna risposta è corretta,Efficacia + efficienza economicità
SIMULAZIONE ALTRE BUSTE 6,VATB6_10,Chi nomina il direttore generale dell'A.S.S.T.?,la giunta regionale attingendo ai nominativi inseriti nell'elenco presso il Ministero della Salute,il consglio regionale attingendo ai nominativi presenti in elenco presso il Ministero della salute,il Presidente del consiglio dei ministri attingendo ai nominativi presenti in elenco presso il Ministero della salute,II Direttore dell'Istituto superiore di Sanità,la giunta regionale attingendo ai nominativi inseriti nell'elenco presso il Ministero della Salute
SIMULAZIONE ALTRE BUSTE 6,VATB6_11,A cosa serve il consenso informato?,Ad informare il cliente rappresentandogli i rischi connessi allo specifico trattamento,raccogliere i dati personali dell'utente,sono corrette entrambe le risposte precedenti,nessuna risposta è corretta,Ad informare il cliente rappresentandogli i rischi connessi allo specifico trattamento
SIMULAZIONE ALTRE BUSTE 6,VATB6_12,cosa si intende per formalizzazione aziendale?,scambio di informazioni aziendali,esplicitare in forma scritta ed ufficiale il piano aziendale,parlare in azienda,nessuna risposta corretta,esplicitare in forma scritta ed ufficiale il piano aziendale
SIMULAZIONE ALTRE BUSTE 6,VATB6_13,Che dimensioni minime deve avere la sala d'aspetto di un gabinetto massoterapico?,15mq,9mq,qualsiasi,12mq,9mq
SIMULAZIONE ALTRE BUSTE 6,VATB6_14,Che dimensioni deve avere lo studio dove MCB i trattamenti massoterapici?,18mq,9mq,12mq,10mq,9mq
SIMULAZIONE ALTRE BUSTE 6,VATB6_15,Entro quanti giorni dalla pubblicazione di P.S.N. le regioni devono emanare il P.S.R.?,120,150,180,100,150
SIMULAZIONE ALTRE BUSTE 6,VATB6_16,Che caatteristiche deve avere il pavimento di uno studio massoterapico,nessuno in particolare,deve essere poroso,deve essere resistente senza fughe e fessure e facilmente igienizzabile,nessuna risposta è corretta,deve essere resistente senza fughe e fessure e facilmente igienizzabile
SIMULAZIONE ALTRE BUSTE 6,VATB6_17,Quali sono le mansioni MCB?,Mansioni wellness con ricetta medica,mansioni di massaggi terapeutici senza ricetta medica,trattamenti wellness in autonomia senza prescrizione medica e massaggi terapeutici dietro prescrizione medica,nessuna risposta è corretta,trattamenti wellness in autonomia senza prescrizione medica e massaggi terapeutici dietro prescrizione medica
SIMULAZIONE ALTRE BUSTE 6,VATB6_18,E' detraibile per il cliente dell'MCB la fattura per il massaggio igienico,sempre,mai,solo se c'è ricetta medica,tutte le risposte sono corrette,mai
SIMULAZIONE ALTRE BUSTE 6,VATB6_19,II direttore sanitario dell'azienda ATS o USL è nominato,Dal presidente del consiglio dei ministri,dal Ministero della Salute,dal direttore generale,dal parlamento,dal direttore generale
SIMULAZIONE ALTRE BUSTE 6,VATB6_20,Dove si trova il registro delle imprese?,presso le associazioni industriali,presso le camere di commercio,presso i comuni,presso le ATS,presso le camere di commercio
SIMULAZIONE ALTRE BUSTE 6,VATB6_21,Quali sono le società di persone?,s.s.+s.n.c.+s.a.s.+s.r.l.,s.s.+s.n.c.+s.a.s.,Entrambe le risposte precedenti sono corrette,s.r.l.+soc. coop+s.a.s.,s.s.+s.n.c.+s.a.s.
SIMULAZIONE ALTRE BUSTE 6,VATB6_22,Quali sono le classi dei dispositivi medici e degli elettromedicali?,1 2 3 4,1  2a  2b  3,1  2a  3a  3b,nessuna risposta è corretta,1  2a  2b  3
SIMULAZIONE ALTRE BUSTE 6,VATB6_23,Cosa si intende per invasività del dispositivo medico ed elettromedicale,penetrabilità parziale della cute,penetrabilità anche parziale nel corpo umano attraverso un orifizio del corpo o la superficie corporea,intervento chirurgico,nessuna risposta è corretta,penetrabilità anche parziale nel corpo umano attraverso un orifizio del corpo o la superficie corporea
SIMULAZIONE ALTRE BUSTE 6,VATB6_24,Nella valutazione di invasività di un elettroedicale  la superficie esterna del globo oculare è considerata dall'allegato IX del decreto L.vo 46 del 1997,Una superficie corporea,un orifizio,Entrambe le risposte precedenti sono corrette,nessuna risposta è corretta,un orifizio
SIMULAZIONE ALTRE BUSTE 6,VATB6_25,etimologia della parola Posturale,"positura  part. passato di ponere ""porre""",postura ovvero tutto ciò che è statico,nessuna delle precedenti,,"positura  part. passato di ponere ""porre"""
SIMULAZIONE ALTRE BUSTE 6,VATB6_26,quali tipologie possono essere i compensi posturali,endogeni,esogeni,tutte le precedenti,,esogeni
SIMULAZIONE ALTRE BUSTE 6,VATB6_27,STP è acronimo di,Sistema tipo imprevisto,sistema tonico posturale,sistema trattamento posturale,,sistema tonico posturale
SIMULAZIONE ALTRE BUSTE 6,VATB6_28,a cosa può servire una visita posturale,per fornire indicazioni di miglioramento globale del soggetto,proporre eventuali ed ulteriori controlli presso operatori competenti,tutte le precedenti,,tutte le precedenti
SIMULAZIONE ALTRE BUSTE 6,VATB6_29,perché proporre una visita posturale?,per cambiare radicalmente la postura del paziente,per non cambiare la postura del paziente,nessuna delle precedenti,,nessuna delle precedenti
SIMULAZIONE ALTRE BUSTE 6,VATB6_30,i test chinesiologici,possono consigliare delle future indicazioni per noi operatori,forniscono una risposta certa e inequivocabile,sono molto più attendibilidi un esame diagnostico,,possono consigliare delle future indicazioni per noi operatori
SIMULAZIONE ALTRE BUSTE 6,VATB6_31,"una visione ""posturale""",fare affidamento solo su noi stessi,poter usufruire di uno staff competente  medici specialisti  osteopati ecc.,nessuna delle precedenti,,poter usufruire di uno staff competente  medici specialisti  osteopati ecc.
SIMULAZIONE ALTRE BUSTE 6,VATB6_32,una visita posturale,si effettua all'aperto,in studio possibilmente pareti bianche e paziente privo di calzature,in studio possibilmente pareti bianche e paziente con scarpe da ginnastica,,in studio possibilmente pareti bianche e paziente privo di calzature
SIMULAZIONE ALTRE BUSTE 6,VATB6_33,l'anamnesi del paziente,prima della visita,durante la visita,dopo la visita,,prima della visita
SIMULAZIONE ALTRE BUSTE 6,VATB6_34,il Podoscopio è,attrezzo per la valutazione della volta plantare,strumento per la misurazione della lunghezza del piede,strumento per la misurazione del baricentro del paziente in ortostatismo,,attrezzo per la valutazione della volta plantare
SIMULAZIONE ALTRE BUSTE 6,VATB6_35,la valutazione del rischio e la redazione del relativo documento sono un obbligo di,del medico competente,del datore di lavoro,del RSPP,,del RSPP
SIMULAZIONE ALTRE BUSTE 6,VATB6_36,il rischio è,la possibilità che accadeun evento imprevedibile,la capacità di una sostanza pericolosa di fare danno,la combinazione della probabilità e della conseguenza del verificarsi di uno specifico evento dannoso,,la combinazione della probabilità e della conseguenza del verificarsi di uno specifico evento dannoso
SIMULAZIONE ALTRE BUSTE 6,VATB6_37,cosa è necessario fare dopo aver effettuato la valutazione dei rischi,è necessario intraprendere azioni di riduzione dei rischi,darne comunicazione all'ATS territoriale,la riduzione del rischio non basta è necessario procedere alla totale eliminazione degli stessi,,è necessario intraprendere azioni di riduzione dei rischi
SIMULAZIONE ALTRE BUSTE 6,VATB6_38,cosa si intende per rischio residuo,rischio non valutato alla fonte,rischio rimanente a seguito del trattamento del rischio,rischio non significativo o accettabile,,rischio rimanente a seguito del trattamento del rischio
SIMULAZIONE ALTRE BUSTE 6,VATB6_39,Cos'è una malattia professionale?,è una malattia che si manifesta con violrnza durante lo svolgimento dell'attività lavorativa,è una patologia la cui causa agisce lentamente e progressivamente nell'organismo,è un disturbo che obbliga il lavoratore a richiedere un periodo di riposo di almeno un mese,,è una patologia la cui causa agisce lentamente e progressivamente nell'organismo
SIMULAZIONE ALTRE BUSTE 6,VATB6_40,il rappresentante dei lavoratori per la sicurezza,ha l'obbligo di sanzionare i lavoratori che non osservano le misure di sicurezza,ha l'obbligo di segnalare ai responsabili aziendali rischi indicativi o di cui viene a conoscenza dai lavoratori,riceve l'incarico dal datore di lavoro che lo sceglie tra le persone di cui ha assoluta fiducia,,ha l'obbligo di segnalare ai responsabili aziendali rischi indicativi o di cui viene a conoscenza dai lavoratori
SIMULAZIONE ALTRE BUSTE 6,VATB6_41,Tra i compiti del responsabile del servizio prevenzione e protezione vi è,coordinare il servizio di prevenzione o protezione,la vigilanza sul rispetto delle norme da parte dei lavoratori,la valutazione dell'idoneità psicofisica dei lavoratori,,la vigilanza sul rispetto delle norme da parte dei lavoratori
SIMULAZIONE ALTRE BUSTE 6,VATB6_42,il lavoratori che rilevi un proble di sicurezza deve:,proseguire nell'attività attendendo che il problema venga rilevato e risolto dal preposto,segnalarlo immediatamente al datore di lavoro o al preposto,proseguire nell'attività senza preoccuparsi perché è un problema del datore di lavoro,,segnalarlo immediatamente al datore di lavoro o al preposto
